학생ID,성별,학력,전공,학원 성적(등수),경력,경력기간(M),근무인원,업종분류,"구인구분(신입,경력)",구인기술,근무지,급여,기술스택,복리후생,필수조건
S0802024,여,대졸,IT 비전공,11,없음,0,0,핀테크,신입,BI 개발자,지방 가능,3500,"Python(판다스), SQL, Tableau/Power BI",,
S0803020,여,고졸,IT 전공,12,IT 헬프데스크,12,20,,신입+경력 무관,리얼타임 그래픽스,수도권,,"Unity/Unreal, WebGL, Blender",,
S0807021,남,고졸,IT 비전공,15,없음,0,10,,신입,BI 개발자,수도권,3500,"Python(판다스), SQL, Tableau/Power BI",자율출퇴근제,
S0808042,남,석사,IT 전공,9,없음,0,0,SaaS,신입,BI 개발자,지역 무관,3500,"Python(판다스), SQL, Tableau/Power BI","사내스터디, 경조휴가, 운동비",
S0816048,여,고졸,IT 비전공,15,편의점/서비스직,24,10,스마트시티,신입+경력 무관,3D 콘텐츠 개발,,2500,"Unity/Unreal, WebGL, Blender","자율출퇴근제, 스톡옵션",복리후생
S0817010,여,대졸,IT 비전공,2,생산직,18,50,SaaS,신입+경력 무관,BI 개발자,지역 무관,3000,"Python(판다스), SQL, Tableau/Power BI","도서구입비, 경조휴가",
S0820029,남,초대졸,IT 비전공,17,없음,0,0,B2B SaaS,신입,백엔드(Node),지역 무관,2500,"React, TypeScript, Node/Nest, PostgreSQL",,
S0822027,여,초대졸,IT 비전공,18,IT 헬프데스크,12,10,,신입,풀스택 주니어,지역 무관,3500,"React, TypeScript, Node/Nest, PostgreSQL",컨퍼런스참가비,
S0822037,여,초대졸,IT 비전공,5,없음,0,5,콘텐츠/엔터,신입,디지털 트윈 개발,수도권,,"Unity/Unreal, WebGL, Blender",,
S0829022,여,초대졸,IT 비전공,8,없음,0,0,VR/AR,신입,툴/에디터 개발,수도권,2500,"Unity C#, Addressables, Git",,
S0829009,여,고졸,IT 비전공,12,없음,0,50,,신입,클라이언트 프로그래머,지방 가능,3000,"Unity C#, Addressables, Git",,
S0830043,남,고졸,IT 전공,12,없음,0,5,교육,신입,3D 콘텐츠 개발,지역 무관,3000,"Unity/Unreal, WebGL, Blender",도서구입비,업종분류
